Key,Parent Key,Priority,Story Points,Assignee,Issue Type,Sprint,Sprint Start Date,Sprint End Date,Sprint Complete Date,Created,Team,Transition Date,Initial State,Next State
NGP-1035,NGP-1025,TBD,5.0,Juan.hernandez,Story,Team Aether Sprint 9,2024-05-16 07:00:00+00:00,2024-05-30 06:30:00+00:00,2024-05-30 12:39:45.960000+00:00,2024-01-11 19:13:48.113000+00:00,Team Aether,2024-05-08 12:03:40.135000+00:00,To Do,In Progress
NGP-1035,NGP-1025,TBD,5.0,Juan.hernandez,Story,Team Aether Sprint 9,2024-05-16 07:00:00+00:00,2024-05-30 06:30:00+00:00,2024-05-30 12:39:45.960000+00:00,2024-01-11 19:13:48.113000+00:00,Team Aether,2024-05-15 21:12:20.786000+00:00,In Progress,Sent to QA
NGP-1035,NGP-1025,TBD,5.0,Juan.hernandez,Story,Team Aether Sprint 9,2024-05-16 07:00:00+00:00,2024-05-30 06:30:00+00:00,2024-05-30 12:39:45.960000+00:00,2024-01-11 19:13:48.113000+00:00,Team Aether,2024-05-15 22:51:55.442000+00:00,Sent to QA,In QA
NGP-1035,NGP-1025,TBD,5.0,Juan.hernandez,Story,Team Aether Sprint 9,2024-05-16 07:00:00+00:00,2024-05-30 06:30:00+00:00,2024-05-30 12:39:45.960000+00:00,2024-01-11 19:13:48.113000+00:00,Team Aether,2024-05-17 20:52:08.891000+00:00,In QA,In Progress
NGP-1035,NGP-1025,TBD,5.0,Juan.hernandez,Story,Team Aether Sprint 9,2024-05-16 07:00:00+00:00,2024-05-30 06:30:00+00:00,2024-05-30 12:39:45.960000+00:00,2024-01-11 19:13:48.113000+00:00,Team Aether,2024-05-22 16:11:29.112000+00:00,Blocked/ On hold,In QA
NGP-1035,NGP-1025,TBD,5.0,Juan.hernandez,Story,Team Aether Sprint 9,2024-05-16 07:00:00+00:00,2024-05-30 06:30:00+00:00,2024-05-30 12:39:45.960000+00:00,2024-01-11 19:13:48.113000+00:00,Team Aether,2024-05-23 01:29:42.879000+00:00,In QA,Final Review
NGP-1035,NGP-1025,TBD,5.0,Juan.hernandez,Story,Team Aether Sprint 9,2024-05-16 07:00:00+00:00,2024-05-30 06:30:00+00:00,2024-05-30 12:39:45.960000+00:00,2024-01-11 19:13:48.113000+00:00,Team Aether,2024-05-23 20:22:21.475000+00:00,Final Review,Done
NGP-1036,NGP-1070,TBD,8.0,Juan.hernandez,Story,Team Aether Sprint 10,2024-05-30 12:39:01.271000+00:00,2024-06-12 07:00:00+00:00,2024-06-12 22:44:53.427000+00:00,2024-01-11 19:14:47.652000+00:00,Team Aether,2024-05-29 09:09:00.842000+00:00,To Do,In Progress
NGP-1036,NGP-1070,TBD,8.0,Juan.hernandez,Story,Team Aether Sprint 10,2024-05-30 12:39:01.271000+00:00,2024-06-12 07:00:00+00:00,2024-06-12 22:44:53.427000+00:00,2024-01-11 19:14:47.652000+00:00,Team Aether,2024-06-07 12:04:39.008000+00:00,In Progress,Code Review
NGP-1036,NGP-1070,TBD,8.0,Juan.hernandez,Story,Team Aether Sprint 10,2024-05-30 12:39:01.271000+00:00,2024-06-12 07:00:00+00:00,2024-06-12 22:44:53.427000+00:00,2024-01-11 19:14:47.652000+00:00,Team Aether,2024-06-10 12:41:57.656000+00:00,Code Review,In QA
NGP-1036,NGP-1070,TBD,8.0,Juan.hernandez,Story,Team Aether Sprint 10,2024-05-30 12:39:01.271000+00:00,2024-06-12 07:00:00+00:00,2024-06-12 22:44:53.427000+00:00,2024-01-11 19:14:47.652000+00:00,Team Aether,2024-06-10 13:16:31.153000+00:00,In QA,Sent to QA
NGP-1036,NGP-1070,TBD,8.0,Juan.hernandez,Story,Team Aether Sprint 10,2024-05-30 12:39:01.271000+00:00,2024-06-12 07:00:00+00:00,2024-06-12 22:44:53.427000+00:00,2024-01-11 19:14:47.652000+00:00,Team Aether,2024-06-10 14:17:33.193000+00:00,Sent to QA,In QA
NGP-1036,NGP-1070,TBD,8.0,Juan.hernandez,Story,Team Aether Sprint 10,2024-05-30 12:39:01.271000+00:00,2024-06-12 07:00:00+00:00,2024-06-12 22:44:53.427000+00:00,2024-01-11 19:14:47.652000+00:00,Team Aether,2024-06-10 20:56:33.006000+00:00,Sent to QA,In Progress
NGP-1036,NGP-1070,TBD,8.0,Juan.hernandez,Story,Team Aether Sprint 10,2024-05-30 12:39:01.271000+00:00,2024-06-12 07:00:00+00:00,2024-06-12 22:44:53.427000+00:00,2024-01-11 19:14:47.652000+00:00,Team Aether,2024-06-10 20:56:41.317000+00:00,In Progress,In QA
NGP-1036,NGP-1070,TBD,8.0,Juan.hernandez,Story,Team Aether Sprint 10,2024-05-30 12:39:01.271000+00:00,2024-06-12 07:00:00+00:00,2024-06-12 22:44:53.427000+00:00,2024-01-11 19:14:47.652000+00:00,Team Aether,2024-06-12 18:44:45.389000+00:00,In QA,Final Review
NGP-1036,NGP-1070,TBD,8.0,Juan.hernandez,Story,Team Aether Sprint 10,2024-05-30 12:39:01.271000+00:00,2024-06-12 07:00:00+00:00,2024-06-12 22:44:53.427000+00:00,2024-01-11 19:14:47.652000+00:00,Team Aether,2024-06-12 22:08:48.864000+00:00,Final Review,Done
NGP-1037,NGP-1070,TBD,8.0,Juan.hernandez,Story,Team Aether Sprint 10,2024-05-30 12:39:01.271000+00:00,2024-06-12 07:00:00+00:00,2024-06-12 22:44:53.427000+00:00,2024-01-11 19:15:43.380000+00:00,Team Aether,2024-06-06 11:27:06.793000+00:00,To Do,In Progress
NGP-1037,NGP-1070,TBD,8.0,Juan.hernandez,Story,Team Aether Sprint 10,2024-05-30 12:39:01.271000+00:00,2024-06-12 07:00:00+00:00,2024-06-12 22:44:53.427000+00:00,2024-01-11 19:15:43.380000+00:00,Team Aether,2024-06-06 15:39:33.378000+00:00,In Progress,Code Review
NGP-1037,NGP-1070,TBD,8.0,Juan.hernandez,Story,Team Aether Sprint 10,2024-05-30 12:39:01.271000+00:00,2024-06-12 07:00:00+00:00,2024-06-12 22:44:53.427000+00:00,2024-01-11 19:15:43.380000+00:00,Team Aether,2024-06-10 12:41:52.746000+00:00,Code Review,In QA
NGP-1037,NGP-1070,TBD,8.0,Juan.hernandez,Story,Team Aether Sprint 10,2024-05-30 12:39:01.271000+00:00,2024-06-12 07:00:00+00:00,2024-06-12 22:44:53.427000+00:00,2024-01-11 19:15:43.380000+00:00,Team Aether,2024-06-10 13:16:46.030000+00:00,In QA,Sent to QA
NGP-1037,NGP-1070,TBD,8.0,Juan.hernandez,Story,Team Aether Sprint 10,2024-05-30 12:39:01.271000+00:00,2024-06-12 07:00:00+00:00,2024-06-12 22:44:53.427000+00:00,2024-01-11 19:15:43.380000+00:00,Team Aether,2024-06-10 14:18:00.409000+00:00,Sent to QA,In QA
NGP-1037,NGP-1070,TBD,8.0,Juan.hernandez,Story,Team Aether Sprint 10,2024-05-30 12:39:01.271000+00:00,2024-06-12 07:00:00+00:00,2024-06-12 22:44:53.427000+00:00,2024-01-11 19:15:43.380000+00:00,Team Aether,2024-06-10 20:56:02.361000+00:00,In QA,In Progress
NGP-1037,NGP-1070,TBD,8.0,Juan.hernandez,Story,Team Aether Sprint 10,2024-05-30 12:39:01.271000+00:00,2024-06-12 07:00:00+00:00,2024-06-12 22:44:53.427000+00:00,2024-01-11 19:15:43.380000+00:00,Team Aether,2024-06-11 11:49:52.664000+00:00,In Progress,Sent to QA
NGP-1037,NGP-1070,TBD,8.0,Juan.hernandez,Story,Team Aether Sprint 10,2024-05-30 12:39:01.271000+00:00,2024-06-12 07:00:00+00:00,2024-06-12 22:44:53.427000+00:00,2024-01-11 19:15:43.380000+00:00,Team Aether,2024-06-12 18:39:07.773000+00:00,In QA,Final Review
NGP-1037,NGP-1070,TBD,8.0,Juan.hernandez,Story,Team Aether Sprint 10,2024-05-30 12:39:01.271000+00:00,2024-06-12 07:00:00+00:00,2024-06-12 22:44:53.427000+00:00,2024-01-11 19:15:43.380000+00:00,Team Aether,2024-06-12 22:13:56.765000+00:00,Final Review,Done
NGP-1042,NGP-1449,TBD,5.0,Juan.hernandez,Story,Team Aether Sprint 13,2024-07-10 12:28:57+00:00,2024-07-25 06:30:00+00:00,2024-07-24 23:51:39.322000+00:00,2024-01-11 19:21:15.952000+00:00,Team Aether,2024-07-15 12:58:15.110000+00:00,To Do,In Progress
NGP-1042,NGP-1449,TBD,5.0,Juan.hernandez,Story,Team Aether Sprint 13,2024-07-10 12:28:57+00:00,2024-07-25 06:30:00+00:00,2024-07-24 23:51:39.322000+00:00,2024-01-11 19:21:15.952000+00:00,Team Aether,2024-07-16 21:28:12.246000+00:00,In Progress,Code Review
NGP-1042,NGP-1449,TBD,5.0,Juan.hernandez,Story,Team Aether Sprint 13,2024-07-10 12:28:57+00:00,2024-07-25 06:30:00+00:00,2024-07-24 23:51:39.322000+00:00,2024-01-11 19:21:15.952000+00:00,Team Aether,2024-07-16 21:28:14.216000+00:00,Code Review,Sent to QA
