Key,Parent Key,Priority,Story Points,Assignee,Issue Type,Sprint,Team,Resolution Time,Blocked,Member Efficiency per ticket,Sprint Overdue,Days to Sprint End,Complexity,Total Story Points per Sprint and team,Total Story Points per Member per Sprint,Average Team Efficiency per Sprint,Block Rate by Issue Type,Estimation Accurate
NGP-1035,NGP-1025,Low,5.0,Juan.hernandez,Story,Team Aether Sprint 9,Team Aether,15.346311805555557,1,0.3258111827357722,1,-1,Medium,37.0,23.0,3.1883835054095897,0.5,0
NGP-1036,NGP-1070,Low,8.0,Juan.hernandez,Story,Team Aether Sprint 10,Team Aether,14.541528032407408,0,0.550148511364907,1,-1,High,45.0,31.0,241.60257920914634,0.0,0
NGP-1037,NGP-1070,Low,8.0,Juan.hernandez,Story,Team Aether Sprint 10,Team Aether,6.44918949074074,0,1.2404659549057748,1,-1,High,45.0,31.0,241.60257920914634,0.0,1
NGP-1042,NGP-1449,Low,5.0,Juan.hernandez,Story,Team Aether Sprint 13,Team Aether,9.453486493055555,1,0.5289053941816021,0,0,Medium,29.0,13.0,3.4714770797185843,0.3333333333333333,0
NGP-1043,NGP-1449,Low,5.0,Juan.hernandez,Story,Team Aether Sprint 12,Team Aether,14.172117164351851,1,0.35280543774905143,0,0,Medium,91.0,67.0,317.95189352065967,0.4444444444444444,0
NGP-1048,NGP-1449,High,3.0,Juan.hernandez,Story,Team Aether Sprint 13,Team Aether,3.948440798611111,0,0.759793587649907,0,0,Low,29.0,13.0,3.4714770797185843,0.3333333333333333,0
NGP-1092,NGP-1449,Low,8.0,Juan.hernandez,Story,Team Aether Sprint 12,Team Aether,15.474146041666668,0,0.5169913724775954,0,0,High,91.0,67.0,317.95189352065967,0.4444444444444444,0
NGP-1093,NGP-1025,Low,13.0,Juan.hernandez,Story,Team Aether Sprint 9,Team Aether,33.25816123842593,0,0.3908815014397133,1,-1,High,37.0,23.0,3.1883835054095897,0.5,1
NGP-1107,NGP-1402,Medium,8.0,Nikayla Bryant,Story,Roar Sprint 4,Team Roar,19.739170127314814,0,0.40528552864184,1,-1,High,48.0,16.0,0.44340928576295885,0.0,0
NGP-1112,NGP-1449,Low,8.0,Juan.hernandez,Story,Team Aether Sprint 15,Team Aether,25.013122430555555,1,0.31983212100810543,1,-2,High,94.0,41.0,391.54604098527733,0.75,0
