Key,Parent Key,Priority,Story Points,Assignee,Issue Type,Sprint,Sprint Start Date,Sprint End Date,Sprint Complete Date,Created,Team,Transition Date,Initial State,Next State,Next Transition Date,Time in State,Resolution Time
NGP-1035,NGP-1025,TBD,5.0,Juan.hernandez,Story,Team Aether Sprint 9,2024-05-16 07:00:00+00:00,2024-05-30 06:30:00+00:00,2024-05-30 12:39:45.960000+00:00,2024-01-11 19:13:48.113000+00:00,Team Aether,2024-05-08 12:03:40.135000+00:00,To Do,In Progress,2024-05-15 21:12:20.786000+00:00,7.38102605324074,15.346311805555557
NGP-1035,NGP-1025,TBD,5.0,Juan.hernandez,Story,Team Aether Sprint 9,2024-05-16 07:00:00+00:00,2024-05-30 06:30:00+00:00,2024-05-30 12:39:45.960000+00:00,2024-01-11 19:13:48.113000+00:00,Team Aether,2024-05-15 21:12:20.786000+00:00,In Progress,Sent to QA,2024-05-15 22:51:55.442000+00:00,0.06915111111111111,15.346311805555557
NGP-1035,NGP-1025,TBD,5.0,Juan.hernandez,Story,Team Aether Sprint 9,2024-05-16 07:00:00+00:00,2024-05-30 06:30:00+00:00,2024-05-30 12:39:45.960000+00:00,2024-01-11 19:13:48.113000+00:00,Team Aether,2024-05-15 22:51:55.442000+00:00,Sent to QA,In QA,2024-05-17 20:52:08.891000+00:00,1.9168223263888888,15.346311805555557
NGP-1035,NGP-1025,TBD,5.0,Juan.hernandez,Story,Team Aether Sprint 9,2024-05-16 07:00:00+00:00,2024-05-30 06:30:00+00:00,2024-05-30 12:39:45.960000+00:00,2024-01-11 19:13:48.113000+00:00,Team Aether,2024-05-17 20:52:08.891000+00:00,In QA,In Progress,2024-05-22 16:11:29.112000+00:00,4.8050951504629635,15.346311805555557
NGP-1035,NGP-1025,TBD,5.0,Juan.hernandez,Story,Team Aether Sprint 9,2024-05-16 07:00:00+00:00,2024-05-30 06:30:00+00:00,2024-05-30 12:39:45.960000+00:00,2024-01-11 19:13:48.113000+00:00,Team Aether,2024-05-22 16:11:29.112000+00:00,Blocked/ On hold,In QA,2024-05-23 01:29:42.879000+00:00,0.38765934027777776,15.346311805555557
NGP-1035,NGP-1025,TBD,5.0,Juan.hernandez,Story,Team Aether Sprint 9,2024-05-16 07:00:00+00:00,2024-05-30 06:30:00+00:00,2024-05-30 12:39:45.960000+00:00,2024-01-11 19:13:48.113000+00:00,Team Aether,2024-05-23 01:29:42.879000+00:00,In QA,Final Review,2024-05-23 20:22:21.475000+00:00,0.7865578240740742,15.346311805555557
NGP-1035,NGP-1025,TBD,5.0,Juan.hernandez,Story,Team Aether Sprint 9,2024-05-16 07:00:00+00:00,2024-05-30 06:30:00+00:00,2024-05-30 12:39:45.960000+00:00,2024-01-11 19:13:48.113000+00:00,Team Aether,2024-05-23 20:22:21.475000+00:00,Final Review,Done,,,15.346311805555557
NGP-1036,NGP-1070,TBD,8.0,Juan.hernandez,Story,Team Aether Sprint 10,2024-05-30 12:39:01.271000+00:00,2024-06-12 07:00:00+00:00,2024-06-12 22:44:53.427000+00:00,2024-01-11 19:14:47.652000+00:00,Team Aether,2024-05-29 09:09:00.842000+00:00,To Do,In Progress,2024-06-07 12:04:39.008000+00:00,9.121969513888889,14.541528032407408
NGP-1036,NGP-1070,TBD,8.0,Juan.hernandez,Story,Team Aether Sprint 10,2024-05-30 12:39:01.271000+00:00,2024-06-12 07:00:00+00:00,2024-06-12 22:44:53.427000+00:00,2024-01-11 19:14:47.652000+00:00,Team Aether,2024-06-07 12:04:39.008000+00:00,In Progress,Code Review,2024-06-10 12:41:57.656000+00:00,3.0259102777777778,14.541528032407408
NGP-1036,NGP-1070,TBD,8.0,Juan.hernandez,Story,Team Aether Sprint 10,2024-05-30 12:39:01.271000+00:00,2024-06-12 07:00:00+00:00,2024-06-12 22:44:53.427000+00:00,2024-01-11 19:14:47.652000+00:00,Team Aether,2024-06-10 12:41:57.656000+00:00,Code Review,In QA,2024-06-10 13:16:31.153000+00:00,0.02399880787037037,14.541528032407408
NGP-1036,NGP-1070,TBD,8.0,Juan.hernandez,Story,Team Aether Sprint 10,2024-05-30 12:39:01.271000+00:00,2024-06-12 07:00:00+00:00,2024-06-12 22:44:53.427000+00:00,2024-01-11 19:14:47.652000+00:00,Team Aether,2024-06-10 13:16:31.153000+00:00,In QA,Sent to QA,2024-06-10 14:17:33.193000+00:00,0.04238472222222222,14.541528032407408
NGP-1036,NGP-1070,TBD,8.0,Juan.hernandez,Story,Team Aether Sprint 10,2024-05-30 12:39:01.271000+00:00,2024-06-12 07:00:00+00:00,2024-06-12 22:44:53.427000+00:00,2024-01-11 19:14:47.652000+00:00,Team Aether,2024-06-10 14:17:33.193000+00:00,Sent to QA,In QA,2024-06-10 20:56:33.006000+00:00,0.27708116898148144,14.541528032407408
NGP-1036,NGP-1070,TBD,8.0,Juan.hernandez,Story,Team Aether Sprint 10,2024-05-30 12:39:01.271000+00:00,2024-06-12 07:00:00+00:00,2024-06-12 22:44:53.427000+00:00,2024-01-11 19:14:47.652000+00:00,Team Aether,2024-06-10 20:56:33.006000+00:00,Sent to QA,In Progress,2024-06-10 20:56:41.317000+00:00,9.619212962962962e-05,14.541528032407408
NGP-1036,NGP-1070,TBD,8.0,Juan.hernandez,Story,Team Aether Sprint 10,2024-05-30 12:39:01.271000+00:00,2024-06-12 07:00:00+00:00,2024-06-12 22:44:53.427000+00:00,2024-01-11 19:14:47.652000+00:00,Team Aether,2024-06-10 20:56:41.317000+00:00,In Progress,In QA,2024-06-12 18:44:45.389000+00:00,1.9083804629629628,14.541528032407408
NGP-1036,NGP-1070,TBD,8.0,Juan.hernandez,Story,Team Aether Sprint 10,2024-05-30 12:39:01.271000+00:00,2024-06-12 07:00:00+00:00,2024-06-12 22:44:53.427000+00:00,2024-01-11 19:14:47.652000+00:00,Team Aether,2024-06-12 18:44:45.389000+00:00,In QA,Final Review,2024-06-12 22:08:48.864000+00:00,0.14170688657407407,14.541528032407408
NGP-1036,NGP-1070,TBD,8.0,Juan.hernandez,Story,Team Aether Sprint 10,2024-05-30 12:39:01.271000+00:00,2024-06-12 07:00:00+00:00,2024-06-12 22:44:53.427000+00:00,2024-01-11 19:14:47.652000+00:00,Team Aether,2024-06-12 22:08:48.864000+00:00,Final Review,Done,,,14.541528032407408
NGP-1037,NGP-1070,TBD,8.0,Juan.hernandez,Story,Team Aether Sprint 10,2024-05-30 12:39:01.271000+00:00,2024-06-12 07:00:00+00:00,2024-06-12 22:44:53.427000+00:00,2024-01-11 19:15:43.380000+00:00,Team Aether,2024-06-06 11:27:06.793000+00:00,To Do,In Progress,2024-06-06 15:39:33.378000+00:00,0.17530769675925925,6.44918949074074
NGP-1037,NGP-1070,TBD,8.0,Juan.hernandez,Story,Team Aether Sprint 10,2024-05-30 12:39:01.271000+00:00,2024-06-12 07:00:00+00:00,2024-06-12 22:44:53.427000+00:00,2024-01-11 19:15:43.380000+00:00,Team Aether,2024-06-06 15:39:33.378000+00:00,In Progress,Code Review,2024-06-10 12:41:52.746000+00:00,3.8766130555555556,6.44918949074074
NGP-1037,NGP-1070,TBD,8.0,Juan.hernandez,Story,Team Aether Sprint 10,2024-05-30 12:39:01.271000+00:00,2024-06-12 07:00:00+00:00,2024-06-12 22:44:53.427000+00:00,2024-01-11 19:15:43.380000+00:00,Team Aether,2024-06-10 12:41:52.746000+00:00,Code Review,In QA,2024-06-10 13:16:46.030000+00:00,0.024227824074074075,6.44918949074074
